aupr,auroc,f1,f1_opt,mcc,shd,precision,recall,tp,fp,tn,fn,topology,config,method,rep,seed_offset,n,p,wall_seconds,dof_correction,null_graph,benchmark,network,delta_mode,diffusion_spearman_mean,diffusion_spearman_min,diffusion_mae_mean,knockout_spearman,knockout_top10_recall,knockout_topk_recall,n_components_pred,diffusion_spearman_mean_null,knockout_spearman_null,diffusion_spearman_norm,knockout_spearman_norm,preprocessing,dataset_id
0.8863959145323802,0.9819557899769416,0.8489761092150171,0.8489761092150171,0.8343860972935472,354.0,0.8820921985815603,0.8182565789473685,995.0,133.0,11371.0,221.0,scale-free,n700p160,piglasso_oracle_n02,32.0,0.0,700.0,160.0,1193.281823832076,,,synthetic,,,,,,,,,,,,,,,
0.426619957666483,0.8227511270053872,0.4829308909242298,0.4829308909242298,0.4323684301789189,1242.0,0.5025996533795494,0.4647435897435897,580.0,574.0,11544.0,668.0,scale-free,n513p164,piglasso_oracle_n08,20.0,0.0,513.0,164.0,1192.1360060080187,,,synthetic,,,,,,,,,,,,,,,
0.0748166990872362,0.5,0.0,0.1392175971042739,0.0,1000.0,0.0,0.0,0.0,0.0,12366.0,1000.0,cluster,n513p164,piglasso_oracle,19.0,,513.0,164.0,722.4551449893042,,,synthetic,,,,,,,,,,,,,,,
0.7968871924796905,0.9759712609049191,0.7995991983967935,0.8067657611481291,0.782942165666312,400.0,0.7770204479065238,0.8235294117647058,798.0,229.0,11522.0,171.0,cluster,n900p160,ssglasso,44.0,0.0,900.0,160.0,1219.3972455860348,,,synthetic,,,,,,,,,,,,,,,
0.9115282263613692,0.995762969642122,0.8314337132573484,0.9256900212314224,0.8310827251338628,281.0,0.7211238293444329,0.9815864022662888,693.0,268.0,11746.0,13.0,random,n500p160,piglasso_oracle_n02,25.0,0.0,500.0,160.0,1322.0471158290748,,,synthetic,,,,,,,,,,,,,,,
0.7381527080086114,0.9397336695817472,0.569558101472995,0.72720156555773,0.5762396232091936,789.0,0.8460291734197731,0.4292763157894737,522.0,95.0,11409.0,694.0,scale-free,n1100p160,ssglasso,34.0,0.0,1100.0,160.0,1137.193369683926,,,synthetic,,,,,,,,,,,,,,,
0.5000187309242755,0.9106595995139742,0.5367847411444141,0.5423728813559322,0.5120198836494982,680.0,0.4852216748768473,0.600609756097561,394.0,418.0,11646.0,262.0,random,n100p160,piglasso_oracle_n02,33.0,0.0,100.0,160.0,1771.1726268880302,,,synthetic,,,,,,,,,,,,,,,
0.2856459480842431,0.740598816187463,0.3363914373088685,0.352685838307108,0.2995311609690855,1085.0,0.4198473282442748,0.2806122448979591,275.0,380.0,11360.0,705.0,cluster,n100p160,ssglasso,29.0,0.0,100.0,160.0,1642.2347846879857,,,synthetic,,,,,,,,,,,,,,,
0.8739423677497168,0.9691056025709334,0.4208361891706648,0.8180318856514569,0.4502383860955923,2535.0,0.2691408533021625,0.9643979057591624,921.0,2501.0,9910.0,34.0,cluster,n513p164,glasso,44.0,,513.0,164.0,42.5939781810157,,,synthetic,,,,,,,,,,,,,,,
0.8507159713973925,0.9926893777338198,0.7497048406139315,0.8927231807951987,0.7575494995346922,424.0,0.6076555023923444,0.9784283513097072,635.0,410.0,12307.0,14.0,random,n513p164,piglasso_oracle_n04,17.0,0.0,513.0,164.0,1322.1298633490223,,,synthetic,,,,,,,,,,,,,,,
